net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,SKBA,2019-03-18,,36.521,129.1791,320.0,q330sp,,ES-DH-A,HG
KS,SKC2,2016-05-31,,38.2898,128.5219,70.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,SLSA,2019-03-18,,37.1349,127.5196,137.0,q330sp,,ES-DH-A,HG
KS,SMWA,2018-01-22,,35.5259,126.5522,74.0,q330sp,,ES-DH-A,HG
KS,SNDA,2019-03-18,,37.2617,128.5956,311.0,q330sp,,ES-DH-A,HG
KS,SNGB,2018-03-09,,37.3465,129.0865,124.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,SNNA,2019-03-18,,36.0502,128.7111,305.0,q330sp,,ES-DH-A,HG
KS,SNWA,2022-11-29,,33.279813,126.705114,0.036,Centaur,,Titan-PH-A,HG
KS,SODA,2018-03-09,,37.5714,126.9661,132.0,q330sp,,ES-DH-A,HG
KS,SUBA,2018-03-09,,36.7826,129.2211,428.0,q330sp,,ES-DH-A,HG
KS,SUCA,2012-11-25,,35.373621,127.138635,91.0,Centaur,,Titan-PH-A,HG
KS,SWO2,2018-03-09,,37.2808,126.9824,132.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,TAHA,2018-03-09,,37.515,130.8118,214.0,q330sp,,ES-DH-A,HG
KS,TAIA,2018-03-09,,35.6507,126.9318,50.0,q330sp,,ES-DH-A,HG
KS,TANB,2016-12-16,,36.6731,126.1353,50.0,q330hrs,3ESPC,ES-DH-A,HH
KS,TBA2,2016-12-16,,37.1224,128.9523,839.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,TEJ2,2016-12-16,,36.37249,127.371137,103.6,q330sp,,ES-T-A,HG
KS,TOHA,2016-05-31,,37.507,129.1238,89.6,q330hrs,,ES-DH-A,HG
KS,UDO,2016-12-16,,33.5227,126.9538,6.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,UJBA,2019-03-18,,37.7548,127.1063,118.2,q330sp,,ES-DH-A,HG
KS,UJNA,2019-03-18,,36.9926,129.4135,103.0,q330sp,,ES-DH-A,HG
KS,ULDR,2018-03-09,,37.4809,130.8987,269.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,UNCA,2018-03-09,,35.4695,129.2395,79.0,q330sp,,ES-DH-A,HG
KS,USN2,2016-05-31,,35.7024,129.1232,250.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,WAJB,2022-11-29,,35.937821,127.293127,185.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,WAN2,2015-09-30,,34.3959,126.7019,77.0,q330hrs,CMG-40T-1-B,ES-T-A,EL
KS,WICA,2019-03-18,,35.7312,127.8015,499.0,q330sp,,ES-DH-A,HG
KS,WNBA,2019-03-18,,36.8238,126.2572,67.0,q330sp,,ES-DH-A,HG
KS,YAGA,2019-03-18,,37.407,127.7569,150.0,q330sp,,ES-DH-A,HG
KS,YALB,2018-03-09,,35.7279,128.1934,418.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,YAYA,2015-09-30,,38.1438,128.6025,69.0,q330hrs,,ES-DH-A,HG
KS,YAYB,2018-03-09,,38.0255,128.716,48.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,YC2B,2019-03-18,,38.0398,126.9257,85.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,YCHB,2019-03-18,,36.6222,128.4373,161.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,YDGA,2019-03-18,,36.0925,127.7943,0.369,q330sp,,ES-DH-A,HG
KS,YEAB,2019-03-18,,36.6611,128.8872,275.0,q330hrs,STS-5A-A,ES-DH-A,HH
